"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 01- 28","494.35","487.73","496.05","482.86","437.07M","1.42%"
"2024- 01- 21","487.41","484.01","489.12","482.78","356.72M","1.03%"
"2024- 01- 14","482.43","475.26","482.72","469.87","356.55M","1.21%"
"2024- 01- 07","476.68","468.43","478.60","468.30","344.09M","1.87%"
"2023- 12- 31","467.92","472.16","473.67","466.43","396.94M","-1.55%"
"2023- 12- 24","475.31","474.07","477.55","473.30","322.83M","0.35%"
"2023- 12- 17","473.65","470.98","475.89","467.82","382.89M","0.92%"
"2023- 12- 10","469.33","459.69","473.73","459.47","487.19M","1.98%"
"2023- 12- 03","460.20","455.60","460.75","454.31","361.54M","0.24%"
"2023- 11- 26","459.10","454.65","459.65","453.34","344.70M","0.83%"
"2023- 11- 19","455.30","450.53","456.38","450.52","208.48M","1.00%"
"2023- 11- 12","450.79","439.23","451.42","438.42","376.60M","2.31%"
"2023- 11- 05","440.61","435.47","440.93","433.40","366.57M","1.36%"
"2023- 10- 29","434.69","413.56","436.29","412.22","459.40M","5.85%"
"2023- 10- 22","410.68","419.61","424.82","409.21","487.35M","-2.50%"
"2023- 10- 15","421.19","433.82","438.14","421.08","489.56M","-2.39%"
"2023- 10- 08","431.50","427.58","437.33","427.01","397.79M","0.46%"
"2023- 10- 01","429.54","426.62","431.12","420.18","458.43M","0.48%"
"2023- 09- 24","427.48","429.17","432.27","422.29","479.12M","-0.68%"
"2023- 09- 17","430.42","443.05","444.97","429.99","409.75M","-2.92%"
"2023- 09- 10","443.37","448.24","451.08","442.92","383.22M","-0.48%"
"2023- 09- 03","445.52","450.73","451.06","442.75","258.35M","-1.26%"
"2023- 08- 27","451.19","442.24","453.67","439.97","338.76M","2.55%"
"2023- 08- 20","439.97","437.55","445.22","435.00","393.07M","0.79%"
"2023- 08- 13","436.50","444.70","448.11","433.01","398.25M","-2.05%"
"2023- 08- 06","445.65","448.71","451.70","443.35","370.20M","-0.26%"
"2023- 07- 30","446.81","457.41","458.16","446.27","376.02M","-2.21%"
"2023- 07- 23","456.92","453.37","459.44","451.55","352.47M","1.05%"
"2023- 07- 16","452.18","449.13","456.43","449.08","341.18M","0.65%"
"2023- 07- 09","449.28","438.18","451.36","437.58","361.07M","2.45%"
"2023- 07- 02","438.55","442.92","444.08","437.06","258.00M","-1.07%"
"2023- 06- 25","443.28","432.62","444.30","431.19","394.12M","2.32%"
"2023- 06- 18","433.21","437.45","438.37","432.47","315.85M","-1.42%"
"2023- 06- 11","439.46","430.92","443.90","430.17","497.24M","2.22%"
"2023- 06- 04","429.90","428.28","431.99","425.82","367.31M","0.46%"
"2023- 05- 28","427.92","422.03","428.74","416.22","363.32M","1.88%"
"2023- 05- 21","420.02","418.64","420.77","409.88","421.13M","0.33%"
"2023- 05- 14","418.62","412.22","420.72","410.23","400.25M","1.71%"
"2023- 05- 07","411.59","412.97","414.54","408.87","336.05M","-0.25%"
"2023- 04- 30","412.63","415.47","417.62","403.74","440.45M","-0.79%"
"2023- 04- 23","415.93","411.99","415.94","403.78","424.95M","0.90%"
"2023- 04- 16","412.20","412.37","415.72","410.17","334.52M","-0.06%"
"2023- 04- 09","412.46","406.61","415.09","405.97","373.38M","0.80%"
"2023- 04- 02","409.19","408.85","411.92","405.68","262.94M","-0.05%"
"2023- 03- 26","409.39","398.12","409.70","393.69","396.28M","3.45%"
"2023- 03- 19","395.75","390.80","402.49","389.40","523.45M","1.48%"
"2023- 03- 12","389.99","381.81","396.47","380.65","764.85M","1.06%"
"2023- 03- 05","385.91","405.05","407.45","384.32","557.05M","-4.52%"
"2023- 02- 26","404.19","399.87","404.45","392.33","452.11M","1.97%"
"2023- 02- 19","396.38","403.06","404.16","393.64","370.84M","-2.67%"
"2023- 02- 12","407.26","408.72","415.05","404.05","380.68M","-0.19%"
"2023- 02- 05","408.04","409.79","416.49","405.01","376.98M","-1.05%"
"2023- 01- 29","412.35","402.80","418.31","400.28","458.86M","1.64%"
"2023- 01- 22","405.68","396.72","408.16","393.56","369.14M","2.48%"
"2023- 01- 15","395.88","398.48","400.23","387.26","341.07M","-0.66%"
"2023- 01- 08","398.50","390.37","399.10","386.27","362.28M","2.69%"
"2023- 01- 01","388.08","384.37","389.25","377.83","341.94M","1.48%"
"2022- 12- 25","382.43","382.79","384.35","376.42","273.54M","-0.13%"
"2022- 12- 18","382.91","383.47","387.41","374.77","392.45M","-0.09%"
"2022- 12- 11","383.27","394.11","410.49","381.04","544.86M","-2.55%"
"2022- 12- 04","393.28","403.95","404.93","391.64","363.38M","-3.35%"
"2022- 11- 27","406.91","399.09","410.00","393.30","426.64M","1.14%"
"2022- 11- 20","402.33","394.64","402.93","392.66","210.48M","1.59%"
"2022- 11- 13","396.03","396.66","402.31","390.14","401.01M","-0.62%"
"2022- 11- 06","398.51","377.71","399.35","373.61","466.72M","5.89%"
"2022- 10- 30","376.35","386.44","390.39","368.79","499.63M","-3.26%"
"2022- 10- 23","389.02","375.89","389.52","373.11","450.64M","3.94%"
"2022- 10- 16","374.29","364.01","375.45","357.28","489.40M","4.66%"
"2022- 10- 09","357.63","363.96","370.26","348.11","516.51M","-1.42%"
