"Date","Price","Open","High","Low","Vol.","Change %"
"11/12/2017","42.54","43.38","43.62","42.09","465.84M","-2.59%"
"11/05/2017","43.67","43.09","44.06","42.93","553.70M","1.28%"
"10/29/2017","43.12","40.97","43.56","40.93","860.71M","5.79%"
"10/22/2017","40.76","39.22","40.90","38.82","489.61M","4.35%"
"10/15/2017","39.06","39.48","40.22","38.76","504.20M","-0.48%"
"10/08/2017","39.25","38.95","39.50","38.77","325.22M","1.08%"
"10/01/2017","38.83","38.56","38.87","38.12","375.14M","0.78%"
"09/24/2017","38.53","37.50","38.68","37.29","619.43M","1.47%"
"09/17/2017","37.97","40.03","40.12","37.64","744.75M","-5.00%"
"09/10/2017","39.97","40.12","40.99","39.48","884.31M","0.78%"
"09/03/2017","39.66","40.94","41.06","39.63","406.91M","-3.29%"
"08/27/2017","41.01","40.03","41.23","39.98","504.51M","2.60%"
"08/20/2017","39.97","39.38","40.19","38.78","450.68M","1.50%"
"08/13/2017","39.38","39.83","40.63","39.18","538.51M","0.03%"
"08/06/2017","39.37","39.27","40.46","38.66","605.08M","0.69%"
"07/30/2017","39.10","37.48","39.94","37.03","691.23M","4.60%"
"07/23/2017","37.38","37.65","38.50","36.83","423.27M","-0.51%"
"07/16/2017","37.57","37.20","37.94","37.14","424.33M","0.83%"
"07/09/2017","37.26","36.03","37.33","35.84","444.35M","3.36%"
"07/02/2017","36.05","36.22","36.33","35.60","316.71M","0.11%"
"06/25/2017","36.01","36.79","37.07","35.57","508.24M","-1.53%"
"06/18/2017","36.57","35.91","36.79","35.91","533.01M","2.81%"
"06/11/2017","35.57","36.44","36.88","35.55","882.12M","-4.48%"
"06/04/2017","37.24","38.59","38.99","36.51","636.64M","-4.17%"
"05/28/2017","38.86","38.35","38.86","38.05","355.01M","1.20%"
"05/21/2017","38.40","38.50","38.73","38.17","413.07M","0.34%"
"05/14/2017","38.27","39.00","39.16","37.43","629.42M","-1.92%"
"05/07/2017","39.02","37.26","39.10","37.26","693.88M","4.78%"
"04/30/2017","37.24","36.27","37.24","36.07","701.41M","3.70%"
"04/23/2017","35.91","35.88","36.23","35.80","364.62M","0.96%"
"04/16/2017","35.57","35.37","35.73","35.11","356.99M","0.88%"
"04/09/2017","35.26","35.90","35.97","35.02","349.94M","-1.62%"
"04/02/2017","35.84","35.93","36.37","35.76","421.66M","-0.19%"
"03/26/2017","35.91","34.85","36.12","34.66","508.04M","2.13%"
