"Date","Price","Open","High","Low","Vol.","Change %"
"08/27/2017","4.67","4.85","4.93","4.62","68.32M","-3.76%"
"08/20/2017","4.85","5.29","5.53","4.68","125.10M","-8.58%"
"08/13/2017","5.30","5.49","5.50","5.20","47.70M","-2.48%"
"08/06/2017","5.44","5.49","5.59","5.27","29.38M","-0.78%"
"07/30/2017","5.48","5.39","5.53","5.28","30.93M","2.00%"
"07/23/2017","5.38","5.18","5.44","5.16","42.13M","3.46%"
"07/16/2017","5.20","5.26","5.39","5.18","36.95M","-1.14%"
"07/09/2017","5.26","5.22","5.36","5.20","27.52M","0.53%"
"07/02/2017","5.23","5.44","5.50","5.22","29.83M","-3.24%"
"06/25/2017","5.40","5.17","5.45","5.16","40.40M","4.65%"
"06/18/2017","5.16","5.16","5.24","5.07","48.33M","0.29%"
"06/11/2017","5.15","5.49","5.54","5.13","54.74M","-6.45%"
"06/04/2017","5.50","5.56","5.64","5.32","55.16M","-2.91%"
"05/28/2017","5.67","5.55","5.74","5.47","68.51M","2.03%"
"05/21/2017","5.55","6.09","6.15","5.31","129.96M","-8.26%"
"05/14/2017","6.05","6.03","6.17","5.88","43.20M","0.79%"
"05/07/2017","6.01","6.00","6.33","5.95","45.77M","0.13%"
"04/30/2017","6.00","5.69","6.04","5.64","41.18M","5.82%"
"04/23/2017","5.67","5.85","5.99","5.62","49.78M","-2.24%"
