"Date","Price","Open","High","Low","Vol.","Change %"
"10/22/2017","151.16","148.93","151.44","146.25","174.16M","1.70%"
"10/15/2017","148.63","148.62","149.13","147.19","110.02M","0.25%"
"10/08/2017","148.26","147.78","148.43","146.87","78.29M","0.46%"
"10/01/2017","147.58","145.59","147.58","144.85","128.57M","1.52%"
"09/24/2017","145.37","143.67","145.48","142.03","185.08M","0.78%"
"09/17/2017","144.24","145.80","146.29","143.78","130.51M","-1.19%"
"09/10/2017","145.98","145.22","146.51","145.21","167.55M","1.28%"
"09/03/2017","144.13","145.47","145.80","143.52","126.81M","-1.23%"
"08/27/2017","145.92","142.34","146.51","140.99","134.28M","2.83%"
"08/20/2017","141.90","141.16","143.27","140.11","163.65M","0.52%"
"08/13/2017","141.16","143.15","144.88","140.58","222.53M","-0.61%"
"08/06/2017","142.03","143.81","145.39","140.82","194.11M","-1.07%"
"07/30/2017","143.57","144.14","144.44","142.54","152.35M","-0.13%"
"07/23/2017","143.76","143.99","145.88","142.23","192.12M","-0.19%"
"07/16/2017","144.03","142.18","144.36","141.57","160.68M","1.39%"
"07/09/2017","142.05","137.77","142.23","137.43","158.04M","3.17%"
"07/02/2017","137.69","138.18","138.36","135.73","160.31M","0.09%"
"06/25/2017","137.57","141.93","142.22","136.18","315.46M","-2.55%"
"06/18/2017","141.17","139.38","141.35","139.21","162.06M","2.24%"
"06/11/2017","138.08","138.77","140.86","137.40","318.97M","-1.31%"
"06/04/2017","139.91","143.36","143.82","138.04","192.16M","-2.42%"
"05/28/2017","143.38","141.06","143.41","140.50","110.88M","1.58%"
"05/21/2017","141.15","138.07","141.26","138.02","95.30M","2.45%"
"05/14/2017","137.77","138.56","139.57","135.80","175.96M","-0.55%"
"05/07/2017","138.53","137.54","138.56","137.26","109.18M","0.77%"
"04/30/2017","137.47","136.39","137.47","136.31","100.95M","1.14%"
"04/23/2017","135.92","133.95","136.27","133.73","106.16M","2.59%"
"04/16/2017","132.49","130.73","132.81","130.65","88.36M","1.66%"
"04/09/2017","130.33","132.04","132.50","130.31","89.04M","-1.19%"
"04/02/2017","131.90","132.41","133.41","131.43","104.69M","-0.31%"
